Size    |       Count
---------------------
1000    |       1000
2000    |       2000
3000    |       3000
4000    |       4000
5000    |       5000
6000    |       6000
7000    |       7000
8000    |       7999.95
9000    |       9000
10000   |       10000
11000   |       11000
12000   |       11999.95
13000   |       12999.85
14000   |       13999.95
15000   |       14999.95
16000   |       15999.9
17000   |       16999.9
18000   |       18000
19000   |       18999.95
20000   |       19999.85
